title,artist,genre,year,bpm,dB,duration,popularity
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,-5,233,69
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,-4,199,69
Up,Olly Murs,dance pop,2015,115,-5,224,69
Trumpets,Jason Derulo,dance pop,2015,82,-5,217,69
Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,-6,213,69
Same Old Love,Selena Gomez,dance pop,2015,98,-4,229,69
I Want You To Know,Zedd,complextro,2015,130,-3,240,68
Lips Are Movin,Meghan Trainor,dance pop,2015,139,-5,183,68
I'll Show You,Justin Bieber,canadian pop,2015,192,-7,200,68
Here,Alessia Cara,canadian contemporary r&b,2015,120,-4,199,68
I Lived,OneRepublic,dance pop,2015,120,-5,235,67
Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,-5,235,67
Easy Love,Sigala,dance pop,2015,124,-4,230,67
The Feeling,Justin Bieber,canadian pop,2015,127,-6,245,67
I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,-5,205,66
BO$$,Fifth Harmony,dance pop,2015,103,-5,171,66
Sugar,Maroon 5,pop,2015,120,-7,235,66
Focus,Ariana Grande,dance pop,2015,100,-6,211,66
All About That Bass,Meghan Trainor,dance pop,2015,134,-4,189,65
On My Mind,Ellie Goulding,dance pop,2015,155,-7,213,65
Love Me Like You,Little Mix,dance pop,2015,106,-4,198,65
Broken Arrows,Avicii,big room,2015,116,-7,233,65
Booty,Jennifer Lopez,dance pop,2015,129,-4,210,64
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,-11,204,64
Mark My Words,Justin Bieber,canadian pop,2015,114,-9,134,63
Lay It All on Me,Rudimental,dance pop,2015,123,-7,242,62
American Oxygen,Rihanna,barbadian pop,2015,78,-6,320,61
Bang Bang,Jessie J,australian pop,2015,150,-4,199,61
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,-8,159,61
Alive,Sia,australian dance,2015,100,-4,264,61
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,-5,219,60
Been You,Justin Bieber,canadian pop,2015,113,-6,199,60
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,-5,189,58
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,-8,230,56
Heroes (we could be),Alesso,big room,2015,126,-4,210,56
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,-6,292,55
Perfect,One Direction,boy band,2015,100,-5,230,55
Ghosttown,Madonna,dance pop,2015,79,-7,250,54
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,-4,193,54
Bloodstream,Ed Sheeran,pop,2015,89,-6,309,52
Living For Love,Madonna,dance pop,2015,123,-5,219,52
Baby Don't Lie,Gwen Stefani,dance pop,2015,100,-5,203,52
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,-3,211,52
Steal My Girl,One Direction,boy band,2015,77,-6,227,51
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,-3,193,50
We Are Here,Alicia Keys,hip pop,2015,93,-6,285,49
St Jude,Florence + The Machine,art pop,2015,117,-11,225,47
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,-4,243,46
Time of Our Lives,Pitbull,dance pop,2015,124,-6,229,45
Sparks,Hilary Duff,dance pop,2015,122,-5,186,44
Mr. Put It Down,Ricky Martin,dance pop,2015,128,-6,196,42
Legendary Lovers,Katy Perry,dance pop,2015,126,-5,224,41
Spark The Fire,Gwen Stefani,dance pop,2015,120,-4,202,39
Run Run Run,Kelly Clarkson,dance pop,2015,112,-7,273,36
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,-4,238,34
Dangerous,Jennifer Hudson,dance pop,2015,109,-5,255,18
L.A.LOVE (la la),Fergie,dance pop,2015,202,-8,193,0
The Hills,The Weeknd,canadian contemporary r&b,2016,113,-7,242,84
Love Yourself,Justin Bieber,canadian pop,2016,100,-10,234,83
Cake By The Ocean,DNCE,dance pop,2016,119,-5,219,81
Don't Let Me Down,The Chainsmokers,electropop,2016,160,-5,208,81
In the Name of Love,Martin Garrix,big room,2016,134,-6,196,81
Into You,Ariana Grande,dance pop,2016,108,-6,244,80
This Is What You Came For,Calvin Harris,dance pop,2016,124,-3,222,80
Million Reasons,Lady Gaga,dance pop,2016,130,-8,205,80
Needed Me,Rihanna,barbadian pop,2016,111,-8,192,80
7 Years,Lukas Graham,danish pop,2016,120,-6,237,80
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,-6,236,79
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,-6,214,79
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,-6,230,79
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,-7,225,79
Work,Rihanna,barbadian pop,2016,92,-6,219,78
Stitches,Shawn Mendes,canadian pop,2016,150,-7,207,78
"Me, Myself & I",G-Eazy,hip hop,2016,112,-7,251,78
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,-7,198,78
Dangerous Woman,Ariana Grande,dance pop,2016,134,-5,236,78
Starving,Hailee Steinfeld,dance pop,2016,100,-4,182,78
Shout Out to My Ex,Little Mix,dance pop,2016,126,-4,246,77
Electric Love,BØRNS,electropop,2016,120,-8,218,76
Confident,Demi Lovato,dance pop,2016,130,-6,206,75
Too Good,Drake,canadian hip hop,2016,118,-8,263,74
Roses,The Chainsmokers,electropop,2016,100,-7,227,74
Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016,93,-5,185,73
Me Too,Meghan Trainor,dance pop,2016,124,-6,181,73
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108,-4,166,73
Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,-6,218,72
Close,Nick Jonas,dance pop,2016,124,-5,234,72
Toothbrush,DNCE,dance pop,2016,105,-6,232,72
All We Know,The Chainsmokers,electropop,2016,90,-9,194,72
Final Song,MØ,dance pop,2016,105,-6,236,72
Company,Justin Bieber,canadian pop,2016,95,-5,208,72
Hands To Myself,Selena Gomez,dance pop,2016,111,-7,201,71
All I Ask,Adele,british soul,2016,142,-5,272,71
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,163,-6,215,71
NO,Meghan Trainor,dance pop,2016,92,-4,214,70
Kill Em With Kindness,Selena Gomez,dance pop,2016,120,-5,218,70
Cool Girl,Tove Lo,dance pop,2016,102,-7,199,69
